Simulation Time (ps),Box Volume (nm^3)
1,125000
2,120085.8416
3,117317.973
4,117728.2508
5,118045.6098
6,117829.1669
7,118103.3727
8,117973.4328
9,117699.4282
10,116915.8223
11,117095.2401
12,116765.2531
13,117605.7873
14,116385.82
15,117088.0599
16,117123.964
17,116994.7436
18,116887.1325
19,116686.4351
20,116557.5368
21,115914.4687
22,116149.985
23,115957.2662
24,116421.5804
25,116521.7485
26,116235.7063
27,115736.2594
28,115743.3843
29,115857.4219
30,115665.0269
31,115082.0222
32,115337.7337
33,115323.5175
34,115494.1881
35,115451.5047
36,114734.5783
37,114791.256
38,114515.1284
39,115287.9824
40,115266.6648
41,115316.4099
42,115843.1631
43,115900.2053
44,115935.8661
45,115900.2053
46,115907.3369
47,116528.9056
48,116772.4201
49,115971.5343
50,115714.8866
51,115686.3936
52,115921.6009
53,115565.3505
54,114904.6674
55,115430.1669
56,115479.9591
57,115529.7656
58,115003.9636
59,115018.1535
60,114982.6811
61,115693.5164
62,115394.6098
63,115501.303
64,115465.7313
65,114989.775
66,115216.9339
67,114911.7581
68,114791.256
69,115174.3188
70,115287.9824
71,115003.9636
72,114918.8491
73,114989.775
74,115330.6255
75,115302.1956
76,115351.951
77,115131.7143
78,115295.0888
79,115323.5175
80,115729.1349
81,115593.8236
82,115622.3014
83,115216.9339
84,114084.125
85,114720.4118
86,115018.1535
87,114578.8108
88,114310.09
89,114232.3809
90,114246.5072
91,114564.6571
92,114918.8491
93,114947.2159
94,114536.3532
95,114869.2183
96,114819.6019
97,114345.424
98,114084.125
99,114345.424
100,114550.5046
101,114564.6571
102,114486.8327
103,114486.8327
104,114869.2183
105,115558.2329
106,114904.6674
107,114451.4696
108,114486.8327
109,114387.8344
110,114133.5294
111,113696.4437
112,114105.2966
113,114190.009
114,114133.5294
115,114444.3978
116,114105.2966
117,113766.8658
118,114359.5596
119,114112.3543
120,114267.6989
121,114140.5883
122,113809.133
123,114317.1562
124,114062.9561
125,114161.7669
126,114423.1843
127,114416.1138
128,114557.5807
129,114883.3971
130,114394.9038
131,114338.3566
132,113569.7572
133,113907.7972
134,114423.1843
135,114670.8382
136,114168.827
137,114649.5967
138,114635.4372
139,115309.3026
140,114975.5875
141,114472.6866
142,114621.2788
143,114387.8344
144,114515.1284
145,114147.6475
146,113619.013
147,113485.3519
148,113964.2023
149,113957.1506
150,113872.5534
151,113978.3065
152,114197.0703
153,114430.2552
154,114048.8449
155,113795.0428
156,113816.1785
157,114331.2895
158,114105.2966
159,114006.5184
160,113590.8651
161,113745.7361
162,113710.5258
163,113689.4031
164,113471.2884
165,113809.133
166,113626.0507
167,113113.0618
168,113506.4493
169,113626.0507
170,114077.0684
171,114317.1562
172,114472.6866
173,114225.3182
174,113576.7929
175,113837.3169
176,113513.4823
177,113780.9537
178,113633.0887
179,113260.4754
180,113485.3519
181,114133.5294
182,114380.7652
183,113703.4846
184,113274.5215
185,113021.8699
186,113127.0957
187,113070.9671
188,113162.1854
189,112923.718
190,113330.7174
191,113597.9016
192,113717.5673
193,113141.1307
194,113106.0453
195,113422.0753
196,113190.2625
197,112783.5997
198,112552.6579
199,112615.6107
200,113092.0131
201,113155.1669
202,113084.9975
203,113190.2625
204,113337.7431
205,113443.1649
206,113541.6175
207,113429.1049
208,113302.6171
209,113225.3653
210,113323.6919
211,113190.2625
212,113063.9523
213,113183.2428
214,112734.5856
215,112748.5882
216,113106.0453
217,113141.1307
218,112475.7474
219,112594.6238
220,112664.5902
221,112741.5868
222,112629.6034
223,113372.8765
224,113070.9671
225,113232.3867
226,112678.587
227,112608.6148
228,112091.7205
229,111861.7245
230,112329.0156
231,112734.5856
232,112503.7108
233,112475.7474
234,112923.718
235,112531.6788
236,112727.5848
237,112888.6775
238,112986.8091
239,112755.5899
240,112909.7009
241,113049.9237
242,112902.6929
243,113099.0291
244,113042.9098
245,112853.6443
246,112608.6148
247,112972.7868
248,112741.5868
249,112657.5923
250,112678.587
251,113176.2234
252,113274.5215
253,113379.904
254,112825.623
255,112168.4559
256,112440.7997
257,112140.5481
258,112657.5923
259,112329.0156
260,112210.3263
261,112517.6942
262,112015.0202
263,112356.9547
264,112168.4559
265,112070.7988
266,112468.7573
267,112531.6788
268,112384.8984
269,112405.8592
270,111938.3549
271,111333.2339
272,111597.2706
273,112294.0983
274,112126.5959
275,111799.053
276,111305.4648
277,111959.2601
278,112601.6192
279,112301.0812
280,112238.2456
281,112440.7997
282,112671.5885
283,112454.7779
284,112559.6515
285,112370.926
286,112287.1157
287,111743.3646
288,111472.1486
289,111625.0883
290,111444.3564
291,111152.8173
292,111291.582
293,111465.2001
294,111034.9581
295,111229.1236
296,111284.641
297,111243.0012
298,111959.2601
299,111618.1334
300,111687.6948
301,111555.5529
302,111499.9454
303,111778.1677
304,111910.4853
305,112084.7463
306,111980.168
307,111792.091
308,112189.3898
309,111771.2065
310,111625.0883
311,112126.5959
312,111917.4522
313,112245.2262
314,111903.5186
315,112175.4335
316,111687.6948
317,111819.9409
318,112021.9915
319,112008.0492
320,112412.8467
321,112077.7724
322,112056.8524
323,112496.7195
324,112140.5481
325,111966.2291
326,111806.0154
327,111924.4195
328,112370.926
329,111994.108
330,111931.387
331,112294.0983
332,112489.7285
333,112091.7205
334,112105.6698
335,112496.7195
336,112280.1334
337,112370.926
338,112168.4559
339,112336
340,112755.5899
341,112405.8592
342,112280.1334
343,112084.7463
344,112280.1334
345,112084.7463
346,112210.3263
347,112287.1157
348,112384.8984
349,111764.2456
350,111499.9454
351,111729.4454
352,111625.0883
353,112370.926
354,112042.9072
355,112175.4335
356,112545.6646
357,112699.5843
358,112126.5959
359,112426.8226
360,113021.8699
361,112496.7195
362,112042.9072
363,112028.9631
364,112008.0492
365,111694.6525
366,112084.7463
367,111882.6203
368,111826.9041
369,111590.317
370,111680.7373
371,111576.4105
372,111409.6227
373,112077.7724
374,112042.9072
375,111980.168
376,111771.2065
377,111785.1292
378,111243.0012
379,111673.7802
380,111541.6493
381,111381.8409
382,111021.0978
383,110854.864
384,111680.7373
385,111847.7955
386,111673.7802
387,111506.8954
388,111208.3093
389,112008.0492
390,111597.2706
391,111388.7859
392,111145.8821
393,111548.601
394,111506.8954
395,110972.5958
396,111256.88
397,111597.2706
398,111444.3564
399,111000.3095
400,110986.452
401,110723.38
402,110661.1344
403,110730.2976
404,111354.0637
405,111104.2769
406,110792.5691
407,111041.8887
408,111256.88
409,111132.0126
410,111395.7312
411,111687.6948
412,111799.053
413,112063.8255
414,112273.1514
415,112015.0202
416,112119.6202
417,112210.3263
418,111903.5186
419,112008.0492
420,112217.3057
421,111764.2456
422,111423.5153
423,111284.641
424,111236.0623
425,111479.0974
426,111465.2001
427,111069.6139
428,111625.0883
429,111347.1202
430,111486.0465
431,111910.4853
432,111645.9545
433,111994.108
434,112077.7724
435,112196.3683
436,112643.5973
437,112587.6288
438,112182.4115
439,111680.7373
440,111576.4105
441,111229.1236
442,111806.0154
443,111416.5689
444,111687.6948
445,111632.0434
446,111952.2914
447,111430.4621
448,111806.0154
449,111743.3646
450,111298.5232
451,111987.1379
452,112015.0202
453,112412.8467
454,112070.7988
455,112077.7724
456,112056.8524
457,112545.6646
458,112301.0812
459,111952.2914
460,111750.3247
461,112168.4559
462,111270.7599
463,111402.6768
464,111249.9405
465,111659.8668
466,111284.641
467,111541.6493
468,111381.8409
469,111381.8409
470,110972.5958
471,111236.0623
472,111492.9958
473,111173.6247
474,110958.7406
475,110979.5238
476,111007.2386
477,111423.5153
478,111409.6227
479,111416.5689
480,111381.8409
481,111680.7373
482,111423.5153
483,110834.0964
484,111194.4346
485,111145.8821
486,110474.5376
487,111520.7961
488,111194.4346
489,111347.1202
490,112175.4335
491,111506.8954
492,111333.2339
493,111472.1486
494,111374.8962
495,111527.7469
496,111021.0978
497,110730.2976
498,110529.8037
499,110502.1683
500,110453.8176
501,111069.6139
